"",BBK01.OEBB08Q,BBK01.OEBB08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:17,
2002-01,9.364,
2002-04,9.427,
2002-07,9.434,
2002-10,9.468,
2003-01,9.435,
2003-04,9.423,
2003-07,9.425,
2003-10,9.459,
2004-01,9.363,
2004-04,9.402,
2004-07,9.305,
2004-10,9.162,
2005-01,10.240,
2005-04,10.097,
2005-07,10.080,
2005-10,10.027,
2006-01,10.036,
2006-04,10.001,
2006-07,10.007,
2006-10,10.211,
2007-01,10.082,
2007-04,10.111,
2007-07,10.014,
2007-10,9.953,
2008-01,9.814,
2008-04,9.865,
2008-07,9.703,
2008-10,9.698,
2009-01,9.651,
2009-04,11.056,
2009-07,10.982,
2009-10,11.031,
2010-01,10.883,
2010-04,10.799,
2010-07,11.025,
2010-10,11.000,
2011-01,10.695,
2011-04,10.696,
2011-07,10.639,
2011-10,10.651,
2012-01,10.607,
2012-04,10.624,
2012-07,10.793,
2012-10,10.781,
2013-01,10.828,
2013-04,10.836,
2013-07,10.909,
2013-10,11.016,
2014-01,11.116,
2014-04,11.193,
2014-07,11.324,
