"",BBK01.OEBB16N,BBK01.OEBB16N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:42,
2002-01,10.867,
2002-04,10.809,
2002-07,10.737,
2002-10,10.725,
2003-01,10.405,
2003-04,10.434,
2003-07,10.280,
2003-10,10.158,
2004-01,10.067,
2004-04,9.993,
2004-07,9.895,
2004-10,8.575,
2005-01,8.864,
2005-04,8.833,
2005-07,8.856,
2005-10,8.811,
2006-01,8.774,
2006-04,8.769,
2006-07,8.791,
2006-10,8.738,
2007-01,8.744,
2007-04,8.798,
2007-07,8.817,
2007-10,8.754,
2008-01,8.788,
2008-04,8.974,
2008-07,8.923,
2008-10,8.815,
2009-01,8.767,
2009-04,9.765,
2009-07,9.729,
2009-10,9.286,
2010-01,9.269,
2010-04,9.223,
2010-07,9.222,
2010-10,9.110,
2011-01,9.106,
2011-04,9.003,
2011-07,9.022,
2011-10,8.895,
2012-01,8.764,
2012-04,8.761,
2012-07,8.743,
2012-10,8.820,
2013-01,8.768,
2013-04,8.849,
2013-07,8.905,
2013-10,8.896,
2014-01,8.891,
2014-04,8.877,
2014-07,8.849,
