"",BBK01.OEBB20P,BBK01.OEBB20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:09,
2002-01,1.313,
2002-04,1.338,
2002-07,1.365,
2002-10,1.392,
2003-01,1.415,
2003-04,1.443,
2003-07,1.463,
2003-10,1.350,
2004-01,1.364,
2004-04,1.378,
2004-07,1.391,
2004-10,1.378,
2005-01,1.495,
2005-04,1.509,
2005-07,1.543,
2005-10,1.568,
2006-01,1.592,
2006-04,1.603,
2006-07,1.614,
2006-10,1.643,
2007-01,1.663,
2007-04,1.665,
2007-07,1.713,
2007-10,1.808,
2008-01,1.830,
2008-04,2.571,
2008-07,2.581,
2008-10,2.557,
2009-01,2.534,
2009-04,2.831,
2009-07,2.806,
2009-10,2.796,
2010-01,2.786,
2010-04,2.772,
2010-07,2.637,
2010-10,2.640,
2011-01,2.707,
2011-04,2.719,
2011-07,2.737,
2011-10,2.741,
2012-01,2.748,
2012-04,2.761,
2012-07,2.775,
2012-10,2.766,
2013-01,2.744,
2013-04,2.723,
2013-07,2.710,
2013-10,2.698,
2014-01,2.666,
2014-04,2.654,
2014-07,2.645,
