"",BBK01.OEBI08V,BBK01.OEBI08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:05,
2002-01,1.991,
2002-04,1.611,
2002-07,1.605,
2002-10,1.730,
2003-01,1.740,
2003-04,1.700,
2003-07,1.780,
2003-10,1.817,
2004-01,1.778,
2004-04,1.886,
2004-07,1.976,
2004-10,2.013,
2005-01,3.501,
2005-04,3.481,
2005-07,3.358,
2005-10,3.325,
2006-01,3.274,
2006-04,3.194,
2006-07,3.101,
2006-10,3.123,
2007-01,3.137,
2007-04,3.086,
2007-07,3.012,
2007-10,3.051,
2008-01,3.036,
2008-04,3.039,
2008-07,2.946,
2008-10,2.919,
2009-01,2.949,
2009-04,2.987,
2009-07,3.057,
2009-10,3.192,
2010-01,3.288,
2010-04,3.203,
2010-07,3.221,
2010-10,3.228,
2011-01,3.168,
2011-04,3.071,
2011-07,3.062,
2011-10,3.044,
2012-01,3.265,
2012-04,3.214,
2012-07,3.311,
2012-10,3.388,
2013-01,3.365,
2013-04,3.346,
2013-07,3.326,
2013-10,3.380,
2014-01,3.358,
2014-04,3.312,
2014-07,3.323,
