"",BBK01.OEBJ04U,BBK01.OEBJ04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:28,
2002-01,0.503,
2002-04,0.434,
2002-07,0.472,
2002-10,0.468,
2003-01,0.432,
2003-04,0.390,
2003-07,0.445,
2003-10,0.433,
2004-01,0.411,
2004-04,0.284,
2004-07,0.331,
2004-10,0.340,
2005-01,0.276,
2005-04,0.289,
2005-07,0.306,
2005-10,0.337,
2006-01,0.333,
2006-04,0.368,
2006-07,0.403,
2006-10,0.451,
2007-01,0.543,
2007-04,0.579,
2007-07,0.677,
2007-10,0.719,
2008-01,0.770,
2008-04,0.859,
2008-07,0.855,
2008-10,0.654,
2009-01,0.426,
2009-04,0.460,
2009-07,0.392,
2009-10,0.343,
2010-01,0.357,
2010-04,0.352,
2010-07,0.325,
2010-10,0.360,
2011-01,0.436,
2011-04,0.467,
2011-07,0.493,
2011-10,0.743,
2012-01,0.907,
2012-04,0.904,
2012-07,0.907,
2012-10,0.867,
2013-01,0.760,
2013-04,0.815,
2013-07,0.791,
2013-10,0.726,
2014-01,0.906,
2014-04,0.900,
2014-07,0.646,
