"",BBK01.OEBJ07N,BBK01.OEBJ07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:46,
2002-01,0.026,
2002-04,0.028,
2002-07,0.028,
2002-10,0.024,
2003-01,0.024,
2003-04,0.024,
2003-07,0.028,
2003-10,0.028,
2004-01,0.035,
2004-04,0.029,
2004-07,0.036,
2004-10,0.032,
2005-01,0.033,
2005-04,0.030,
2005-07,0.030,
2005-10,0.025,
2006-01,0.024,
2006-04,0.026,
2006-07,0.020,
2006-10,0.019,
2007-01,0.032,
2007-04,0.034,
2007-07,0.039,
2007-10,0.038,
2008-01,0.040,
2008-04,0.044,
2008-07,0.085,
2008-10,0.101,
2009-01,0.105,
2009-04,0.107,
2009-07,0.113,
2009-10,0.125,
2010-01,0.204,
2010-04,0.200,
2010-07,0.204,
2010-10,0.207,
2011-01,0.202,
2011-04,0.208,
2011-07,0.208,
2011-10,0.026,
2012-01,0.044,
2012-04,0.047,
2012-07,0.090,
2012-10,0.105,
2013-01,0.102,
2013-04,0.135,
2013-07,0.183,
2013-10,0.105,
2014-01,0.071,
2014-04,0.040,
2014-07,0.034,
