"",BBK01.OEBL03S,BBK01.OEBL03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:17,
2002-01,0.149,
2002-04,0.141,
2002-07,0.133,
2002-10,0.104,
2003-01,0.100,
2003-04,0.100,
2003-07,0.091,
2003-10,0.087,
2004-01,0.079,
2004-04,0.069,
2004-07,0.067,
2004-10,0.072,
2005-01,0.218,
2005-04,0.216,
2005-07,0.202,
2005-10,0.200,
2006-01,0.196,
2006-04,0.198,
2006-07,0.209,
2006-10,0.228,
2007-01,0.259,
2007-04,0.266,
2007-07,0.306,
2007-10,0.370,
2008-01,0.388,
2008-04,0.411,
2008-07,0.500,
2008-10,0.519,
2009-01,0.482,
2009-04,0.458,
2009-07,0.374,
2009-10,0.313,
2010-01,0.271,
2010-04,0.258,
2010-07,0.218,
2010-10,0.194,
2011-01,0.196,
2011-04,0.182,
2011-07,0.158,
2011-10,0.198,
2012-01,0.215,
2012-04,0.205,
2012-07,0.199,
2012-10,0.159,
2013-01,0.136,
2013-04,0.135,
2013-07,0.125,
2013-10,0.119,
2014-01,0.114,
2014-04,0.120,
2014-07,0.110,
