"",BBK01.OEBL08M,BBK01.OEBL08M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:59,
2002-01,3.466,
2002-04,3.180,
2002-07,3.130,
2002-10,3.410,
2003-01,3.552,
2003-04,3.563,
2003-07,3.723,
2003-10,3.748,
2004-01,3.653,
2004-04,3.622,
2004-07,3.863,
2004-10,3.992,
2005-01,7.307,
2005-04,7.277,
2005-07,7.181,
2005-10,7.194,
2006-01,7.095,
2006-04,6.972,
2006-07,6.787,
2006-10,6.733,
2007-01,6.725,
2007-04,6.589,
2007-07,6.381,
2007-10,6.455,
2008-01,6.375,
2008-04,6.507,
2008-07,6.131,
2008-10,6.175,
2009-01,6.375,
2009-04,6.713,
2009-07,7.089,
2009-10,7.512,
2010-01,7.622,
2010-04,7.506,
2010-07,7.563,
2010-10,7.608,
2011-01,7.706,
2011-04,7.685,
2011-07,7.633,
2011-10,7.643,
2012-01,8.324,
2012-04,8.290,
2012-07,8.292,
2012-10,8.534,
2013-01,8.453,
2013-04,8.385,
2013-07,8.220,
2013-10,8.236,
2014-01,8.170,
2014-04,8.032,
2014-07,8.115,
