"",BBK01.OECB01O,BBK01.OECB01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:58,
2002-01,5.879,
2002-04,5.854,
2002-07,5.646,
2002-10,5.613,
2003-01,5.404,
2003-04,5.167,
2003-07,4.981,
2003-10,5.030,
2004-01,4.988,
2004-04,4.867,
2004-07,4.828,
2004-10,4.901,
2005-01,6.035,
2005-04,5.886,
2005-07,5.755,
2005-10,5.820,
2006-01,5.630,
2006-04,5.759,
2006-07,5.876,
2006-10,5.762,
2007-01,5.841,
2007-04,6.006,
2007-07,5.767,
2007-10,5.755,
2008-01,5.946,
2008-04,5.920,
2008-07,6.053,
2008-10,6.074,
2009-01,6.182,
2009-04,6.857,
2009-07,6.789,
2009-10,6.489,
2010-01,6.614,
2010-04,6.674,
2010-07,6.848,
2010-10,6.584,
2011-01,6.498,
2011-04,6.798,
2011-07,6.444,
2011-10,6.287,
2012-01,6.280,
2012-04,5.973,
2012-07,5.998,
2012-10,5.828,
2013-01,6.015,
2013-04,5.969,
2013-07,6.070,
2013-10,5.983,
2014-01,6.191,
2014-04,6.388,
2014-07,6.228,
