"",BBK01.OECB02I,BBK01.OECB02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:58,
2002-01,2.896,
2002-04,2.701,
2002-07,2.638,
2002-10,2.830,
2003-01,2.409,
2003-04,2.438,
2003-07,2.509,
2003-10,2.462,
2004-01,2.084,
2004-04,1.981,
2004-07,2.052,
2004-10,1.921,
2005-01,2.014,
2005-04,1.914,
2005-07,1.902,
2005-10,1.968,
2006-01,1.962,
2006-04,1.559,
2006-07,1.995,
2006-10,1.565,
2007-01,1.474,
2007-04,1.605,
2007-07,1.524,
2007-10,1.953,
2008-01,1.604,
2008-04,1.763,
2008-07,2.018,
2008-10,1.946,
2009-01,1.817,
2009-04,1.613,
2009-07,1.585,
2009-10,1.353,
2010-01,1.402,
2010-04,1.581,
2010-07,1.625,
2010-10,1.655,
2011-01,1.804,
2011-04,1.544,
2011-07,1.506,
2011-10,1.446,
2012-01,1.770,
2012-04,1.674,
2012-07,1.813,
2012-10,1.804,
2013-01,1.659,
2013-04,1.872,
2013-07,2.034,
2013-10,1.985,
2014-01,1.800,
2014-04,1.662,
2014-07,1.369,
