"",BBK01.OECB08R,BBK01.OECB08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:37,
2002-01,2.584,
2002-04,2.557,
2002-07,2.525,
2002-10,2.496,
2003-01,2.274,
2003-04,2.245,
2003-07,2.201,
2003-10,2.200,
2004-01,2.138,
2004-04,2.107,
2004-07,2.067,
2004-10,2.356,
2005-01,3.258,
2005-04,3.212,
2005-07,3.220,
2005-10,3.163,
2006-01,3.114,
2006-04,3.080,
2006-07,3.059,
2006-10,2.995,
2007-01,3.006,
2007-04,2.965,
2007-07,2.955,
2007-10,2.930,
2008-01,2.912,
2008-04,2.893,
2008-07,2.884,
2008-10,2.917,
2009-01,2.880,
2009-04,3.263,
2009-07,3.219,
2009-10,3.212,
2010-01,3.189,
2010-04,3.144,
2010-07,3.129,
2010-10,3.123,
2011-01,3.141,
2011-04,3.092,
2011-07,3.080,
2011-10,3.080,
2012-01,3.082,
2012-04,3.065,
2012-07,3.071,
2012-10,3.070,
2013-01,3.051,
2013-04,3.049,
2013-07,3.064,
2013-10,3.052,
2014-01,3.041,
2014-04,3.057,
2014-07,3.047,
