"",BBK01.OECB09S,BBK01.OECB09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:52,
2002-01,1.389,
2002-04,1.331,
2002-07,1.315,
2002-10,1.146,
2003-01,1.044,
2003-04,1.011,
2003-07,0.961,
2003-10,0.923,
2004-01,0.905,
2004-04,0.846,
2004-07,0.813,
2004-10,0.704,
2005-01,0.754,
2005-04,0.698,
2005-07,0.686,
2005-10,0.626,
2006-01,0.615,
2006-04,0.653,
2006-07,0.625,
2006-10,0.565,
2007-01,0.545,
2007-04,0.523,
2007-07,0.499,
2007-10,0.516,
2008-01,0.502,
2008-04,0.501,
2008-07,0.481,
2008-10,0.489,
2009-01,0.503,
2009-04,0.521,
2009-07,0.507,
2009-10,0.674,
2010-01,0.676,
2010-04,0.662,
2010-07,0.590,
2010-10,0.585,
2011-01,0.577,
2011-04,0.592,
2011-07,0.571,
2011-10,0.592,
2012-01,0.615,
2012-04,0.610,
2012-07,0.610,
2012-10,0.583,
2013-01,0.598,
2013-04,0.610,
2013-07,0.603,
2013-10,0.570,
2014-01,0.522,
2014-04,0.527,
2014-07,0.517,
