"",BBK01.OECB19G,BBK01.OECB19G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:49,
2002-01,0.506,
2002-04,0.458,
2002-07,0.436,
2002-10,0.420,
2003-01,0.420,
2003-04,0.418,
2003-07,0.409,
2003-10,0.402,
2004-01,0.385,
2004-04,0.367,
2004-07,0.364,
2004-10,0.364,
2005-01,0.424,
2005-04,0.437,
2005-07,0.435,
2005-10,0.429,
2006-01,0.412,
2006-04,0.416,
2006-07,0.435,
2006-10,0.432,
2007-01,0.418,
2007-04,0.401,
2007-07,0.432,
2007-10,0.389,
2008-01,0.387,
2008-04,0.377,
2008-07,0.337,
2008-10,0.293,
2009-01,0.300,
2009-04,0.302,
2009-07,0.288,
2009-10,0.280,
2010-01,0.283,
2010-04,0.285,
2010-07,0.317,
2010-10,0.296,
2011-01,0.289,
2011-04,0.285,
2011-07,0.301,
2011-10,0.303,
2012-01,0.303,
2012-04,0.297,
2012-07,0.296,
2012-10,0.285,
2013-01,0.282,
2013-04,0.281,
2013-07,0.268,
2013-10,0.258,
2014-01,0.252,
2014-04,0.245,
2014-07,0.246,
