"",BBK01.OECI01I,BBK01.OECI01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:20,
2002-01,11.697,
2002-04,12.021,
2002-07,11.525,
2002-10,11.532,
2003-01,11.498,
2003-04,11.189,
2003-07,10.500,
2003-10,10.428,
2004-01,9.706,
2004-04,9.108,
2004-07,8.730,
2004-10,9.647,
2005-01,14.555,
2005-04,14.787,
2005-07,14.791,
2005-10,16.263,
2006-01,15.588,
2006-04,16.822,
2006-07,17.277,
2006-10,17.530,
2007-01,17.000,
2007-04,17.952,
2007-07,18.064,
2007-10,20.937,
2008-01,19.134,
2008-04,20.400,
2008-07,19.879,
2008-10,22.040,
2009-01,23.438,
2009-04,24.558,
2009-07,24.299,
2009-10,22.927,
2010-01,24.797,
2010-04,24.810,
2010-07,23.662,
2010-10,23.279,
2011-01,23.623,
2011-04,22.440,
2011-07,22.537,
2011-10,24.448,
2012-01,23.282,
2012-04,24.456,
2012-07,22.684,
2012-10,22.586,
2013-01,24.214,
2013-04,26.409,
2013-07,25.152,
2013-10,24.368,
2014-01,24.231,
2014-04,25.777,
2014-07,25.249,
