"",BBK01.OECI03O,BBK01.OECI03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:35,
2002-01,1.430,
2002-04,1.620,
2002-07,1.561,
2002-10,1.475,
2003-01,1.455,
2003-04,1.327,
2003-07,1.256,
2003-10,1.159,
2004-01,1.057,
2004-04,1.071,
2004-07,1.088,
2004-10,1.273,
2005-01,1.490,
2005-04,1.451,
2005-07,1.444,
2005-10,1.326,
2006-01,1.491,
2006-04,1.566,
2006-07,1.731,
2006-10,1.770,
2007-01,1.691,
2007-04,1.863,
2007-07,2.266,
2007-10,2.604,
2008-01,2.672,
2008-04,2.763,
2008-07,3.300,
2008-10,3.415,
2009-01,3.076,
2009-04,2.887,
2009-07,2.771,
2009-10,2.412,
2010-01,2.216,
2010-04,2.055,
2010-07,1.829,
2010-10,1.624,
2011-01,1.731,
2011-04,1.826,
2011-07,1.635,
2011-10,1.501,
2012-01,1.582,
2012-04,1.455,
2012-07,1.626,
2012-10,1.408,
2013-01,1.136,
2013-04,1.287,
2013-07,1.197,
2013-10,1.363,
2014-01,1.193,
2014-04,1.011,
2014-07,0.908,
