"",BBK01.OECI04U,BBK01.OECI04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:44,
2002-01,0.609,
2002-04,0.587,
2002-07,0.573,
2002-10,0.535,
2003-01,0.539,
2003-04,0.517,
2003-07,0.490,
2003-10,0.497,
2004-01,0.478,
2004-04,0.417,
2004-07,0.457,
2004-10,0.459,
2005-01,0.458,
2005-04,0.447,
2005-07,0.468,
2005-10,0.479,
2006-01,0.506,
2006-04,0.539,
2006-07,0.545,
2006-10,0.592,
2007-01,0.660,
2007-04,0.692,
2007-07,0.817,
2007-10,0.954,
2008-01,0.963,
2008-04,1.068,
2008-07,1.187,
2008-10,1.056,
2009-01,0.972,
2009-04,1.007,
2009-07,0.780,
2009-10,0.653,
2010-01,0.585,
2010-04,0.562,
2010-07,0.490,
2010-10,0.485,
2011-01,0.539,
2011-04,0.562,
2011-07,0.563,
2011-10,0.616,
2012-01,0.769,
2012-04,0.723,
2012-07,0.591,
2012-10,0.466,
2013-01,0.349,
2013-04,0.394,
2013-07,0.363,
2013-10,0.332,
2014-01,0.328,
2014-04,0.351,
2014-07,0.283,
