"",BBK01.OECI05Q,BBK01.OECI05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:49,
2002-01,0.067,
2002-04,0.065,
2002-07,0.066,
2002-10,0.067,
2003-01,0.066,
2003-04,0.071,
2003-07,0.079,
2003-10,0.082,
2004-01,0.081,
2004-04,0.078,
2004-07,0.075,
2004-10,0.149,
2005-01,0.213,
2005-04,0.207,
2005-07,0.202,
2005-10,0.266,
2006-01,0.168,
2006-04,0.160,
2006-07,0.157,
2006-10,0.154,
2007-01,0.150,
2007-04,0.147,
2007-07,0.144,
2007-10,0.142,
2008-01,0.130,
2008-04,0.139,
2008-07,0.143,
2008-10,0.147,
2009-01,0.367,
2009-04,0.545,
2009-07,0.596,
2009-10,0.597,
2010-01,0.602,
2010-04,0.605,
2010-07,0.587,
2010-10,0.575,
2011-01,0.498,
2011-04,0.454,
2011-07,0.446,
2011-10,0.435,
2012-01,0.441,
2012-04,0.358,
2012-07,0.356,
2012-10,0.345,
2013-01,0.338,
2013-04,0.307,
2013-07,0.284,
2013-10,0.226,
2014-01,0.214,
2014-04,0.206,
2014-07,0.169,
