"",BBK01.OECI10G,BBK01.OECI10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:19,
2002-01,0.286,
2002-04,0.252,
2002-07,0.249,
2002-10,0.247,
2003-01,0.244,
2003-04,0.217,
2003-07,0.212,
2003-10,0.202,
2004-01,0.290,
2004-04,0.242,
2004-07,0.221,
2004-10,0.167,
2005-01,0.163,
2005-04,0.158,
2005-07,0.153,
2005-10,0.145,
2006-01,0.137,
2006-04,0.132,
2006-07,0.128,
2006-10,0.121,
2007-01,0.116,
2007-04,0.109,
2007-07,0.103,
2007-10,0.097,
2008-01,0.090,
2008-04,0.085,
2008-07,0.079,
2008-10,0.073,
2009-01,0.069,
2009-04,0.064,
2009-07,0.044,
2009-10,0.040,
2010-01,0.039,
2010-04,0.037,
2010-07,0.034,
2010-10,0.032,
2011-01,0.031,
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,-,Nothing exists
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,-,Nothing exists
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
