"",BBK01.OECJ01T,BBK01.OECJ01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:15,
2002-01,0.718,
2002-04,0.744,
2002-07,0.666,
2002-10,0.722,
2003-01,0.649,
2003-04,0.628,
2003-07,0.675,
2003-10,0.674,
2004-01,0.607,
2004-04,0.632,
2004-07,0.615,
2004-10,0.751,
2005-01,0.649,
2005-04,0.683,
2005-07,0.674,
2005-10,0.731,
2006-01,0.660,
2006-04,0.668,
2006-07,0.708,
2006-10,1.013,
2007-01,0.760,
2007-04,0.757,
2007-07,0.781,
2007-10,0.853,
2008-01,0.824,
2008-04,0.895,
2008-07,0.877,
2008-10,1.056,
2009-01,0.869,
2009-04,0.902,
2009-07,0.870,
2009-10,1.046,
2010-01,0.932,
2010-04,0.929,
2010-07,0.948,
2010-10,1.300,
2011-01,0.993,
2011-04,1.095,
2011-07,1.056,
2011-10,1.091,
2012-01,1.127,
2012-04,0.914,
2012-07,0.975,
2012-10,1.184,
2013-01,1.220,
2013-04,0.917,
2013-07,1.028,
2013-10,1.089,
2014-01,1.093,
2014-04,0.980,
2014-07,1.071,
