"",BBK01.OECJ02N,BBK01.OECJ02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:19,
2002-01,10.991,
2002-04,12.311,
2002-07,12.629,
2002-10,14.897,
2003-01,12.756,
2003-04,12.982,
2003-07,12.475,
2003-10,13.721,
2004-01,12.130,
2004-04,11.854,
2004-07,11.863,
2004-10,13.293,
2005-01,14.073,
2005-04,13.693,
2005-07,14.134,
2005-10,15.397,
2006-01,13.659,
2006-04,14.950,
2006-07,13.792,
2006-10,17.333,
2007-01,15.565,
2007-04,15.683,
2007-07,17.542,
2007-10,17.311,
2008-01,16.519,
2008-04,16.556,
2008-07,16.515,
2008-10,21.040,
2009-01,20.710,
2009-04,26.168,
2009-07,26.907,
2009-10,30.607,
2010-01,23.051,
2010-04,24.108,
2010-07,24.946,
2010-10,25.667,
2011-01,22.001,
2011-04,26.388,
2011-07,23.544,
2011-10,31.853,
2012-01,24.673,
2012-04,27.714,
2012-07,23.170,
2012-10,25.698,
2013-01,23.222,
2013-04,22.487,
2013-07,24.160,
2013-10,25.356,
2014-01,23.148,
2014-04,21.996,
2014-07,22.928,
