"",BBK01.OECJ05G,BBK01.OECJ05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:35,
2002-01,0.078,
2002-04,0.078,
2002-07,0.077,
2002-10,0.073,
2003-01,0.072,
2003-04,0.065,
2003-07,0.063,
2003-10,0.057,
2004-01,0.054,
2004-04,0.051,
2004-07,0.050,
2004-10,0.049,
2005-01,2.156,
2005-04,2.115,
2005-07,2.070,
2005-10,2.106,
2006-01,1.996,
2006-04,1.943,
2006-07,2.212,
2006-10,2.218,
2007-01,2.972,
2007-04,3.644,
2007-07,3.948,
2007-10,4.338,
2008-01,4.516,
2008-04,4.412,
2008-07,4.503,
2008-10,4.714,
2009-01,4.793,
2009-04,5.071,
2009-07,4.859,
2009-10,4.740,
2010-01,4.752,
2010-04,4.762,
2010-07,4.775,
2010-10,4.741,
2011-01,4.778,
2011-04,4.735,
2011-07,4.905,
2011-10,4.867,
2012-01,4.875,
2012-04,4.867,
2012-07,4.882,
2012-10,4.773,
2013-01,4.784,
2013-04,4.785,
2013-07,4.771,
2013-10,4.598,
2014-01,4.489,
2014-04,4.182,
2014-07,4.162,
