"",BBK01.OECK01H,BBK01.OECK01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:36,
2002-01,4.325,
2002-04,4.181,
2002-07,4.330,
2002-10,4.200,
2003-01,3.935,
2003-04,3.990,
2003-07,4.228,
2003-10,3.809,
2004-01,3.883,
2004-04,3.792,
2004-07,4.139,
2004-10,3.944,
2005-01,4.380,
2005-04,5.015,
2005-07,4.450,
2005-10,4.579,
2006-01,4.507,
2006-04,4.777,
2006-07,4.861,
2006-10,5.318,
2007-01,5.220,
2007-04,5.346,
2007-07,6.024,
2007-10,6.276,
2008-01,6.533,
2008-04,6.610,
2008-07,6.983,
2008-10,6.986,
2009-01,6.496,
2009-04,6.560,
2009-07,6.618,
2009-10,6.546,
2010-01,6.403,
2010-04,6.308,
2010-07,6.205,
2010-10,6.226,
2011-01,6.421,
2011-04,6.501,
2011-07,6.550,
2011-10,6.652,
2012-01,6.976,
2012-04,7.001,
2012-07,7.056,
2012-10,7.059,
2013-01,6.982,
2013-04,7.081,
2013-07,7.531,
2013-10,7.738,
2014-01,8.753,
2014-04,8.540,
2014-07,8.615,
