"",BBK01.OECK01I,BBK01.OECK01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:36,
2002-01,1.308,
2002-04,1.408,
2002-07,1.293,
2002-10,1.410,
2003-01,1.294,
2003-04,1.283,
2003-07,1.256,
2003-10,1.293,
2004-01,1.252,
2004-04,1.230,
2004-07,1.211,
2004-10,1.310,
2005-01,1.446,
2005-04,1.511,
2005-07,1.584,
2005-10,1.731,
2006-01,1.717,
2006-04,1.784,
2006-07,1.859,
2006-10,2.274,
2007-01,1.931,
2007-04,1.958,
2007-07,2.107,
2007-10,2.159,
2008-01,2.061,
2008-04,2.039,
2008-07,1.990,
2008-10,2.027,
2009-01,2.505,
2009-04,2.534,
2009-07,2.766,
2009-10,2.702,
2010-01,1.854,
2010-04,1.841,
2010-07,1.802,
2010-10,1.941,
2011-01,2.000,
2011-04,1.937,
2011-07,2.033,
2011-10,2.069,
2012-01,1.952,
2012-04,1.955,
2012-07,1.970,
2012-10,2.070,
2013-01,1.980,
2013-04,2.042,
2013-07,2.111,
2013-10,2.275,
2014-01,2.209,
2014-04,2.264,
2014-07,2.262,
