"",BBK01.OECK02T,BBK01.OECK02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:48,
2002-01,0.147,
2002-04,0.156,
2002-07,0.151,
2002-10,0.159,
2003-01,0.150,
2003-04,0.153,
2003-07,0.163,
2003-10,0.151,
2004-01,0.160,
2004-04,0.158,
2004-07,0.154,
2004-10,0.182,
2005-01,0.187,
2005-04,0.188,
2005-07,0.191,
2005-10,0.207,
2006-01,0.207,
2006-04,0.203,
2006-07,0.211,
2006-10,0.204,
2007-01,0.210,
2007-04,0.219,
2007-07,0.223,
2007-10,0.229,
2008-01,0.229,
2008-04,0.230,
2008-07,0.233,
2008-10,0.262,
2009-01,0.283,
2009-04,0.277,
2009-07,0.256,
2009-10,0.262,
2010-01,0.261,
2010-04,0.275,
2010-07,0.280,
2010-10,0.281,
2011-01,0.274,
2011-04,0.276,
2011-07,0.278,
2011-10,0.303,
2012-01,0.285,
2012-04,0.348,
2012-07,0.394,
2012-10,0.441,
2013-01,0.433,
2013-04,0.437,
2013-07,0.459,
2013-10,0.445,
2014-01,0.393,
2014-04,0.383,
2014-07,0.412,
