"",BBK01.OECL03H,BBK01.OECL03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:32,
2002-01,4.812,
2002-04,4.659,
2002-07,4.490,
2002-10,4.250,
2003-01,3.685,
2003-04,3.093,
2003-07,2.808,
2003-10,2.589,
2004-01,2.220,
2004-04,2.115,
2004-07,1.989,
2004-10,2.025,
2005-01,2.595,
2005-04,2.572,
2005-07,2.443,
2005-10,2.749,
2006-01,2.768,
2006-04,3.062,
2006-07,3.507,
2006-10,4.001,
2007-01,4.420,
2007-04,4.946,
2007-07,6.433,
2007-10,7.773,
2008-01,8.756,
2008-04,9.474,
2008-07,10.703,
2008-10,10.723,
2009-01,7.737,
2009-04,7.540,
2009-07,6.853,
2009-10,6.177,
2010-01,5.110,
2010-04,4.272,
2010-07,3.487,
2010-10,3.054,
2011-01,3.079,
2011-04,3.514,
2011-07,3.685,
2011-10,3.968,
2012-01,3.848,
2012-04,3.682,
2012-07,3.322,
2012-10,2.719,
2013-01,2.219,
2013-04,2.469,
2013-07,2.419,
2013-10,2.347,
2014-01,2.323,
2014-04,1.857,
2014-07,1.566,
