"",BBK01.OECM10N,BBK01.OECM10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:19,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-,Nothing exists
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,1.448,
2005-04,1.419,
2005-07,1.413,
2005-10,1.415,
2006-01,1.376,
2006-04,1.302,
2006-07,1.284,
2006-10,1.286,
2007-01,1.253,
2007-04,1.226,
2007-07,1.179,
2007-10,1.174,
2008-01,1.123,
2008-04,1.094,
2008-07,1.079,
2008-10,1.081,
2009-01,1.044,
2009-04,1.021,
2009-07,1.033,
2009-10,0.998,
2010-01,0.942,
2010-04,0.919,
2010-07,0.902,
2010-10,0.868,
2011-01,0.852,
2011-04,0.832,
2011-07,0.814,
2011-10,0.785,
2012-01,0.768,
2012-04,0.750,
2012-07,0.738,
2012-10,0.710,
2013-01,0.693,
2013-04,0.668,
2013-07,0.654,
2013-10,0.624,
2014-01,0.596,
2014-04,0.578,
2014-07,0.532,
