"",BBK01.OECO01P,BBK01.OECO01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:46,
2002-01,0.194,
2002-04,0.188,
2002-07,0.141,
2002-10,0.139,
2003-01,0.153,
2003-04,0.145,
2003-07,0.145,
2003-10,0.165,
2004-01,0.171,
2004-04,0.169,
2004-07,0.168,
2004-10,0.192,
2005-01,0.584,
2005-04,0.573,
2005-07,0.572,
2005-10,0.565,
2006-01,0.559,
2006-04,0.549,
2006-07,0.536,
2006-10,0.517,
2007-01,0.507,
2007-04,0.515,
2007-07,0.502,
2007-10,0.495,
2008-01,0.503,
2008-04,0.499,
2008-07,0.515,
2008-10,0.503,
2009-01,0.505,
2009-04,0.540,
2009-07,0.574,
2009-10,0.596,
2010-01,0.614,
2010-04,0.629,
2010-07,0.620,
2010-10,0.621,
2011-01,0.635,
2011-04,0.626,
2011-07,0.606,
2011-10,0.598,
2012-01,0.610,
2012-04,0.665,
2012-07,0.649,
2012-10,0.637,
2013-01,0.648,
2013-04,0.639,
2013-07,0.628,
2013-10,0.603,
2014-01,0.596,
2014-04,0.579,
2014-07,0.566,
