"",BBK01.OEGM01I,BBK01.OEGM01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:20,
2002-01,7.168,
2002-04,7.283,
2002-07,7.253,
2002-10,7.202,
2003-01,7.782,
2003-04,7.590,
2003-07,7.017,
2003-10,7.370,
2004-01,7.259,
2004-04,7.887,
2004-07,1.597,
2004-10,1.404,
2005-01,1.776,
2005-04,1.905,
2005-07,1.953,
2005-10,1.517,
2006-01,2.221,
2006-04,2.283,
2006-07,1.577,
2006-10,1.847,
2007-01,1.249,
2007-04,0.764,
2007-07,2.278,
2007-10,1.335,
2008-01,1.037,
2008-04,1.529,
2008-07,1.345,
2008-10,1.507,
2009-01,1.462,
2009-04,1.413,
2009-07,1.386,
2009-10,1.283,
2010-01,1.901,
2010-04,1.769,
2010-07,1.603,
2010-10,1.574,
2011-01,1.218,
2011-04,1.882,
2011-07,2.729,
2011-10,2.159,
2012-01,2.263,
2012-04,3.061,
2012-07,1.645,
2012-10,2.633,
2013-01,2.148,
2013-04,4.031,
2013-07,2.995,
2013-10,2.904,
2014-01,2.608,
2014-04,3.690,
2014-07,3.597,
