"",BBK01.OEHB03Q,BBK01.OEHB03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:46,
2002-01,1.455,
2002-04,1.464,
2002-07,1.436,
2002-10,1.473,
2003-01,1.469,
2003-04,1.443,
2003-07,1.473,
2003-10,1.453,
2004-01,1.456,
2004-04,1.472,
2004-07,1.441,
2004-10,1.462,
2005-01,1.426,
2005-04,1.484,
2005-07,1.475,
2005-10,1.377,
2006-01,1.387,
2006-04,1.355,
2006-07,1.350,
2006-10,1.319,
2007-01,1.315,
2007-04,1.316,
2007-07,1.312,
2007-10,1.319,
2008-01,1.332,
2008-04,1.315,
2008-07,1.270,
2008-10,1.245,
2009-01,1.206,
2009-04,1.244,
2009-07,1.259,
2009-10,1.196,
2010-01,1.159,
2010-04,1.126,
2010-07,1.143,
2010-10,1.127,
2011-01,1.137,
2011-04,1.108,
2011-07,1.076,
2011-10,1.080,
2012-01,1.074,
2012-04,1.091,
2012-07,1.096,
2012-10,1.082,
2013-01,1.084,
2013-04,1.097,
2013-07,1.095,
2013-10,1.067,
2014-01,1.054,
2014-04,1.097,
2014-07,1.112,
