"",BBK01.OEHB05M,BBK01.OEHB05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:57,
2002-01,59.698,
2002-04,60.061,
2002-07,60.522,
2002-10,60.662,
2003-01,62.591,
2003-04,63.132,
2003-07,63.517,
2003-10,63.660,
2004-01,63.415,
2004-04,63.695,
2004-07,63.798,
2004-10,63.664,
2005-01,62.611,
2005-04,62.778,
2005-07,62.828,
2005-10,62.784,
2006-01,62.875,
2006-04,63.028,
2006-07,62.918,
2006-10,62.734,
2007-01,62.555,
2007-04,62.292,
2007-07,62.083,
2007-10,61.899,
2008-01,61.981,
2008-04,62.148,
2008-07,62.746,
2008-10,62.543,
2009-01,62.668,
2009-04,62.535,
2009-07,62.671,
2009-10,62.546,
2010-01,62.697,
2010-04,63.411,
2010-07,63.618,
2010-10,63.915,
2011-01,64.238,
2011-04,64.616,
2011-07,64.855,
2011-10,64.927,
2012-01,65.118,
2012-04,65.397,
2012-07,66.068,
2012-10,66.052,
2013-01,66.168,
2013-04,66.458,
2013-07,67.189,
2013-10,67.391,
2014-01,67.254,
2014-04,67.683,
2014-07,68.096,
