"",BBK01.OEHB09G,BBK01.OEHB09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:05,
2002-01,20.342,
2002-04,20.302,
2002-07,20.724,
2002-10,20.580,
2003-01,20.358,
2003-04,20.194,
2003-07,20.044,
2003-10,19.711,
2004-01,19.723,
2004-04,19.717,
2004-07,19.930,
2004-10,19.796,
2005-01,19.964,
2005-04,19.955,
2005-07,20.040,
2005-10,20.082,
2006-01,20.466,
2006-04,20.626,
2006-07,20.761,
2006-10,20.806,
2007-01,21.161,
2007-04,21.618,
2007-07,22.199,
2007-10,22.768,
2008-01,23.315,
2008-04,24.029,
2008-07,24.822,
2008-10,25.224,
2009-01,25.407,
2009-04,25.975,
2009-07,26.294,
2009-10,26.169,
2010-01,26.132,
2010-04,26.393,
2010-07,26.515,
2010-10,26.491,
2011-01,26.716,
2011-04,27.086,
2011-07,27.299,
2011-10,27.606,
2012-01,27.945,
2012-04,28.297,
2012-07,28.779,
2012-10,29.055,
2013-01,29.002,
2013-04,29.339,
2013-07,29.631,
2013-10,29.562,
2014-01,29.814,
2014-04,29.988,
2014-07,30.354,
