"",BBK01.OEHB20J,BBK01.OEHB20J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:35,
2002-01,3.411,
2002-04,3.439,
2002-07,3.454,
2002-10,3.476,
2003-01,3.506,
2003-04,3.524,
2003-07,3.576,
2003-10,3.617,
2004-01,3.600,
2004-04,3.604,
2004-07,3.620,
2004-10,3.650,
2005-01,4.177,
2005-04,4.207,
2005-07,4.228,
2005-10,4.223,
2006-01,4.193,
2006-04,4.132,
2006-07,4.119,
2006-10,4.124,
2007-01,4.076,
2007-04,4.060,
2007-07,4.056,
2007-10,4.024,
2008-01,3.982,
2008-04,3.956,
2008-07,3.932,
2008-10,3.913,
2009-01,3.873,
2009-04,3.869,
2009-07,3.255,
2009-10,3.246,
2010-01,3.218,
2010-04,3.211,
2010-07,3.214,
2010-10,3.215,
2011-01,3.205,
2011-04,3.217,
2011-07,3.236,
2011-10,3.223,
2012-01,3.207,
2012-04,3.213,
2012-07,3.228,
2012-10,3.246,
2013-01,3.229,
2013-04,3.241,
2013-07,3.258,
2013-10,3.268,
2014-01,3.271,
2014-04,3.300,
2014-07,3.253,
