"",BBK01.OEHJ04J,BBK01.OEHJ04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:32,
2002-01,0.188,
2002-04,0.206,
2002-07,0.209,
2002-10,0.189,
2003-01,0.170,
2003-04,0.165,
2003-07,0.185,
2003-10,0.217,
2004-01,0.264,
2004-04,0.229,
2004-07,0.223,
2004-10,0.247,
2005-01,0.314,
2005-04,0.337,
2005-07,0.308,
2005-10,0.257,
2006-01,0.387,
2006-04,0.323,
2006-07,0.314,
2006-10,0.275,
2007-01,0.296,
2007-04,0.362,
2007-07,0.399,
2007-10,0.346,
2008-01,0.446,
2008-04,0.500,
2008-07,0.484,
2008-10,0.432,
2009-01,0.372,
2009-04,0.413,
2009-07,0.415,
2009-10,0.294,
2010-01,0.326,
2010-04,0.304,
2010-07,0.269,
2010-10,0.334,
2011-01,0.417,
2011-04,0.416,
2011-07,0.457,
2011-10,0.412,
2012-01,0.484,
2012-04,0.422,
2012-07,0.376,
2012-10,0.356,
2013-01,0.396,
2013-04,0.568,
2013-07,0.375,
2013-10,0.199,
2014-01,0.272,
2014-04,0.256,
2014-07,0.231,
