"",BBK01.OEHJ06M,BBK01.OEHJ06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:46,
2002-01,1.927,
2002-04,1.939,
2002-07,1.904,
2002-10,1.848,
2003-01,1.817,
2003-04,1.772,
2003-07,1.829,
2003-10,1.755,
2004-01,1.762,
2004-04,1.778,
2004-07,1.836,
2004-10,1.795,
2005-01,1.777,
2005-04,1.761,
2005-07,1.741,
2005-10,1.709,
2006-01,1.696,
2006-04,1.644,
2006-07,1.623,
2006-10,1.572,
2007-01,1.603,
2007-04,1.589,
2007-07,1.571,
2007-10,1.575,
2008-01,1.603,
2008-04,1.527,
2008-07,1.507,
2008-10,1.510,
2009-01,1.514,
2009-04,1.494,
2009-07,1.621,
2009-10,1.747,
2010-01,1.797,
2010-04,1.866,
2010-07,1.911,
2010-10,1.903,
2011-01,1.908,
2011-04,1.905,
2011-07,1.834,
2011-10,1.822,
2012-01,1.811,
2012-04,1.822,
2012-07,1.792,
2012-10,1.841,
2013-01,1.774,
2013-04,1.719,
2013-07,1.637,
2013-10,1.654,
2014-01,1.571,
2014-04,1.527,
2014-07,1.494,
