"",BBK01.OEHJ06T,BBK01.OEHJ06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:49,
2002-01,0.316,
2002-04,0.324,
2002-07,0.331,
2002-10,0.327,
2003-01,0.335,
2003-04,0.334,
2003-07,0.308,
2003-10,0.306,
2004-01,0.306,
2004-04,0.316,
2004-07,0.316,
2004-10,0.319,
2005-01,0.313,
2005-04,0.343,
2005-07,0.338,
2005-10,0.329,
2006-01,0.331,
2006-04,0.329,
2006-07,0.331,
2006-10,0.330,
2007-01,0.327,
2007-04,0.333,
2007-07,0.305,
2007-10,0.306,
2008-01,0.279,
2008-04,0.279,
2008-07,0.274,
2008-10,0.275,
2009-01,0.261,
2009-04,0.240,
2009-07,0.239,
2009-10,0.220,
2010-01,0.211,
2010-04,0.199,
2010-07,0.202,
2010-10,0.200,
2011-01,0.201,
2011-04,0.204,
2011-07,0.206,
2011-10,0.203,
2012-01,0.197,
2012-04,0.195,
2012-07,0.183,
2012-10,0.182,
2013-01,0.167,
2013-04,0.149,
2013-07,0.148,
2013-10,0.139,
2014-01,0.129,
2014-04,0.118,
2014-07,0.106,
