"",BBK01.OEHJ07N,BBK01.OEHJ07N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:52,
2002-01,0.392,
2002-04,0.379,
2002-07,0.385,
2002-10,0.375,
2003-01,0.373,
2003-04,0.455,
2003-07,0.450,
2003-10,0.441,
2004-01,0.426,
2004-04,0.428,
2004-07,0.435,
2004-10,0.442,
2005-01,0.470,
2005-04,0.284,
2005-07,0.432,
2005-10,0.413,
2006-01,0.431,
2006-04,0.434,
2006-07,0.395,
2006-10,0.376,
2007-01,0.369,
2007-04,0.367,
2007-07,0.361,
2007-10,0.348,
2008-01,0.361,
2008-04,0.353,
2008-07,0.322,
2008-10,0.317,
2009-01,0.331,
2009-04,0.377,
2009-07,0.394,
2009-10,0.484,
2010-01,0.533,
2010-04,0.541,
2010-07,0.537,
2010-10,0.536,
2011-01,0.542,
2011-04,0.560,
2011-07,0.553,
2011-10,0.536,
2012-01,0.530,
2012-04,0.567,
2012-07,0.581,
2012-10,0.555,
2013-01,0.572,
2013-04,0.601,
2013-07,0.611,
2013-10,0.637,
2014-01,0.658,
2014-04,0.699,
2014-07,0.705,
