"",BBK01.OEHL07T,BBK01.OEHL07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:12,
2002-01,8.153,
2002-04,8.100,
2002-07,8.087,
2002-10,8.304,
2003-01,8.322,
2003-04,8.289,
2003-07,8.266,
2003-10,8.523,
2004-01,8.519,
2004-04,8.451,
2004-07,8.415,
2004-10,8.579,
2005-01,8.587,
2005-04,8.528,
2005-07,8.519,
2005-10,8.650,
2006-01,8.660,
2006-04,8.593,
2006-07,8.516,
2006-10,8.612,
2007-01,8.583,
2007-04,8.496,
2007-07,8.406,
2007-10,8.518,
2008-01,8.465,
2008-04,8.359,
2008-07,8.241,
2008-10,8.490,
2009-01,8.453,
2009-04,8.383,
2009-07,8.306,
2009-10,8.534,
2010-01,8.594,
2010-04,8.601,
2010-07,8.617,
2010-10,8.784,
2011-01,8.819,
2011-04,8.794,
2011-07,8.761,
2011-10,8.855,
2012-01,8.867,
2012-04,8.849,
2012-07,8.856,
2012-10,8.998,
2013-01,9.112,
2013-04,9.087,
2013-07,9.103,
2013-10,9.149,
2014-01,9.148,
2014-04,9.147,
2014-07,9.141,
