"",BBK01.OEHO01M,BBK01.OEHO01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:07,
2002-01,27.296,
2002-04,27.216,
2002-07,26.974,
2002-10,26.899,
2003-01,27.481,
2003-04,27.545,
2003-07,27.283,
2003-10,27.112,
2004-01,27.660,
2004-04,27.670,
2004-07,27.100,
2004-10,27.450,
2005-01,27.971,
2005-04,27.865,
2005-07,27.624,
2005-10,27.411,
2006-01,27.675,
2006-04,27.580,
2006-07,27.304,
2006-10,26.954,
2007-01,26.913,
2007-04,26.179,
2007-07,25.682,
2007-10,25.155,
2008-01,25.285,
2008-04,24.825,
2008-07,24.460,
2008-10,23.980,
2009-01,24.428,
2009-04,24.594,
2009-07,24.344,
2009-10,23.888,
2010-01,24.148,
2010-04,24.403,
2010-07,24.489,
2010-10,24.406,
2011-01,24.741,
2011-04,24.844,
2011-07,24.829,
2011-10,24.726,
2012-01,25.065,
2012-04,25.091,
2012-07,24.939,
2012-10,24.787,
2013-01,24.966,
2013-04,25.085,
2013-07,25.102,
2013-10,25.067,
2014-01,25.262,
2014-04,25.308,
2014-07,25.211,
