"",BBK01.OEHO04L,BBK01.OEHO04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:54,
2002-01,-0.868,
2002-04,-0.638,
2002-07,-0.468,
2002-10,-0.302,
2003-01,-0.402,
2003-04,-0.191,
2003-07,-0.198,
2003-10,-0.120,
2004-01,-0.144,
2004-04,-0.201,
2004-07,-0.169,
2004-10,0.119,
2005-01,-0.290,
2005-04,-0.289,
2005-07,-0.258,
2005-10,-0.167,
2006-01,-0.199,
2006-04,-0.118,
2006-07,-0.225,
2006-10,-0.361,
2007-01,-0.782,
2007-04,-0.780,
2007-07,-0.723,
2007-10,-0.855,
2008-01,-0.914,
2008-04,-0.728,
2008-07,-0.570,
2008-10,-0.247,
2009-01,0.251,
2009-04,0.502,
2009-07,0.410,
2009-10,0.293,
2010-01,0.271,
2010-04,0.093,
2010-07,-0.172,
2010-10,-0.152,
2011-01,0.001,
2011-04,-0.076,
2011-07,-0.258,
2011-10,-0.272,
2012-01,-0.253,
2012-04,-0.219,
2012-07,-0.258,
2012-10,-0.313,
2013-01,-0.144,
2013-04,-0.179,
2013-07,-0.119,
2013-10,-0.005,
2014-01,-0.304,
2014-04,-0.357,
2014-07,-0.329,
