"",BBK01.OELB12K,BBK01.OELB12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:50,
2002-01,0.331,
2002-04,0.328,
2002-07,0.327,
2002-10,0.328,
2003-01,0.317,
2003-04,0.306,
2003-07,0.299,
2003-10,0.285,
2004-01,0.285,
2004-04,0.294,
2004-07,0.279,
2004-10,0.315,
2005-01,0.304,
2005-04,0.301,
2005-07,0.309,
2005-10,0.322,
2006-01,0.321,
2006-04,0.294,
2006-07,0.295,
2006-10,0.289,
2007-01,0.284,
2007-04,0.285,
2007-07,0.292,
2007-10,0.324,
2008-01,0.323,
2008-04,0.324,
2008-07,0.328,
2008-10,0.347,
2009-01,0.348,
2009-04,0.345,
2009-07,0.355,
2009-10,0.367,
2010-01,0.388,
2010-04,0.539,
2010-07,0.566,
2010-10,0.531,
2011-01,0.542,
2011-04,0.564,
2011-07,0.546,
2011-10,0.554,
2012-01,0.570,
2012-04,0.658,
2012-07,0.670,
2012-10,0.707,
2013-01,0.779,
2013-04,0.778,
2013-07,0.779,
2013-10,0.797,
2014-01,0.825,
2014-04,0.860,
2014-07,0.888,
