"",BBK01.OELB19O,BBK01.OELB19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:35,
2002-01,1.339,
2002-04,1.311,
2002-07,1.287,
2002-10,1.243,
2003-01,1.197,
2003-04,1.169,
2003-07,1.135,
2003-10,1.109,
2004-01,1.078,
2004-04,1.070,
2004-07,1.051,
2004-10,1.032,
2005-01,0.997,
2005-04,0.978,
2005-07,0.949,
2005-10,0.913,
2006-01,0.882,
2006-04,0.870,
2006-07,0.848,
2006-10,0.820,
2007-01,0.800,
2007-04,0.783,
2007-07,0.764,
2007-10,0.731,
2008-01,0.711,
2008-04,0.685,
2008-07,0.666,
2008-10,0.640,
2009-01,0.625,
2009-04,0.614,
2009-07,0.612,
2009-10,0.602,
2010-01,0.588,
2010-04,0.593,
2010-07,0.602,
2010-10,0.601,
2011-01,0.611,
2011-04,0.629,
2011-07,0.653,
2011-10,0.661,
2012-01,0.677,
2012-04,0.697,
2012-07,0.729,
2012-10,0.729,
2013-01,0.734,
2013-04,0.752,
2013-07,0.771,
2013-10,0.769,
2014-01,0.769,
2014-04,0.778,
2014-07,0.792,
