"",BBK01.OELB22L,BBK01.OELB22L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:03,
2002-01,0.065,
2002-04,0.080,
2002-07,0.092,
2002-10,0.112,
2003-01,0.100,
2003-04,0.101,
2003-07,0.099,
2003-10,0.138,
2004-01,0.099,
2004-04,0.094,
2004-07,0.125,
2004-10,0.126,
2005-01,0.171,
2005-04,0.203,
2005-07,0.171,
2005-10,0.175,
2006-01,0.201,
2006-04,0.168,
2006-07,0.170,
2006-10,0.262,
2007-01,0.177,
2007-04,0.221,
2007-07,0.119,
2007-10,0.170,
2008-01,0.129,
2008-04,0.142,
2008-07,0.117,
2008-10,0.150,
2009-01,0.133,
2009-04,0.149,
2009-07,0.120,
2009-10,0.138,
2010-01,0.146,
2010-04,0.145,
2010-07,0.152,
2010-10,0.166,
2011-01,0.159,
2011-04,0.217,
2011-07,0.177,
2011-10,0.190,
2012-01,0.181,
2012-04,0.172,
2012-07,0.177,
2012-10,0.164,
2013-01,0.145,
2013-04,0.126,
2013-07,0.136,
2013-10,0.142,
2014-01,0.155,
2014-04,0.160,
2014-07,0.164,
