"",BBK01.OELI01I,BBK01.OELI01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:27,
2002-01,8.190,
2002-04,8.428,
2002-07,8.816,
2002-10,9.035,
2003-01,9.046,
2003-04,10.055,
2003-07,8.806,
2003-10,9.200,
2004-01,9.090,
2004-04,9.099,
2004-07,9.396,
2004-10,10.416,
2005-01,10.134,
2005-04,9.846,
2005-07,10.342,
2005-10,11.560,
2006-01,11.149,
2006-04,11.129,
2006-07,11.124,
2006-10,10.952,
2007-01,10.298,
2007-04,10.473,
2007-07,10.520,
2007-10,10.938,
2008-01,10.554,
2008-04,10.284,
2008-07,10.335,
2008-10,10.474,
2009-01,11.671,
2009-04,10.682,
2009-07,10.808,
2009-10,11.146,
2010-01,11.029,
2010-04,11.074,
2010-07,10.838,
2010-10,10.734,
2011-01,10.923,
2011-04,11.043,
2011-07,11.030,
2011-10,10.867,
2012-01,10.984,
2012-04,10.969,
2012-07,11.333,
2012-10,11.625,
2013-01,11.857,
2013-04,12.162,
2013-07,12.215,
2013-10,12.569,
2014-01,12.246,
2014-04,12.359,
2014-07,12.802,
