"",BBK01.OELI07S,BBK01.OELI07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:08,
2002-01,1.772,
2002-04,1.752,
2002-07,1.777,
2002-10,1.864,
2003-01,1.898,
2003-04,1.877,
2003-07,1.883,
2003-10,1.924,
2004-01,1.946,
2004-04,1.930,
2004-07,1.920,
2004-10,1.923,
2005-01,1.896,
2005-04,1.868,
2005-07,1.859,
2005-10,1.887,
2006-01,1.885,
2006-04,1.844,
2006-07,1.825,
2006-10,1.833,
2007-01,1.793,
2007-04,1.753,
2007-07,1.740,
2007-10,1.759,
2008-01,1.742,
2008-04,1.702,
2008-07,1.681,
2008-10,1.710,
2009-01,1.727,
2009-04,1.725,
2009-07,1.760,
2009-10,1.790,
2010-01,1.789,
2010-04,1.787,
2010-07,1.791,
2010-10,1.827,
2011-01,1.828,
2011-04,1.813,
2011-07,1.808,
2011-10,1.833,
2012-01,1.824,
2012-04,1.813,
2012-07,1.814,
2012-10,1.848,
2013-01,1.857,
2013-04,1.852,
2013-07,1.852,
2013-10,1.874,
2014-01,1.883,
2014-04,1.876,
2014-07,1.866,
