"",BBK01.OELL02V,BBK01.OELL02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:51,
2002-01,1.411,
2002-04,1.408,
2002-07,1.490,
2002-10,1.578,
2003-01,1.570,
2003-04,1.572,
2003-07,1.575,
2003-10,1.599,
2004-01,1.572,
2004-04,1.587,
2004-07,1.610,
2004-10,1.746,
2005-01,1.730,
2005-04,1.726,
2005-07,1.743,
2005-10,1.802,
2006-01,1.814,
2006-04,1.815,
2006-07,1.834,
2006-10,1.799,
2007-01,1.838,
2007-04,1.876,
2007-07,1.920,
2007-10,1.969,
2008-01,1.964,
2008-04,1.973,
2008-07,1.916,
2008-10,2.052,
2009-01,2.130,
2009-04,2.306,
2009-07,2.423,
2009-10,2.521,
2010-01,2.590,
2010-04,2.651,
2010-07,2.707,
2010-10,2.734,
2011-01,2.685,
2011-04,2.742,
2011-07,2.752,
2011-10,2.841,
2012-01,2.861,
2012-04,2.906,
2012-07,3.019,
2012-10,3.116,
2013-01,3.194,
2013-04,3.287,
2013-07,3.351,
2013-10,3.522,
2014-01,3.533,
2014-04,3.613,
2014-07,3.690,
