"",BBK01.OELL03R,BBK01.OELL03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:56,
2002-01,0.186,
2002-04,0.160,
2002-07,0.159,
2002-10,0.161,
2003-01,0.156,
2003-04,0.141,
2003-07,0.142,
2003-10,0.140,
2004-01,0.140,
2004-04,0.139,
2004-07,0.142,
2004-10,0.138,
2005-01,0.150,
2005-04,0.146,
2005-07,0.170,
2005-10,0.169,
2006-01,0.140,
2006-04,0.186,
2006-07,0.188,
2006-10,0.199,
2007-01,0.221,
2007-04,0.236,
2007-07,0.245,
2007-10,0.265,
2008-01,0.261,
2008-04,0.271,
2008-07,0.283,
2008-10,0.315,
2009-01,0.318,
2009-04,0.290,
2009-07,0.260,
2009-10,0.249,
2010-01,0.247,
2010-04,0.238,
2010-07,0.241,
2010-10,0.244,
2011-01,0.239,
2011-04,0.239,
2011-07,0.240,
2011-10,0.238,
2012-01,0.229,
2012-04,0.224,
2012-07,0.221,
2012-10,0.212,
2013-01,0.203,
2013-04,0.199,
2013-07,0.196,
2013-10,0.197,
2014-01,0.190,
2014-04,0.180,
2014-07,0.184,
