"",BBK01.OELL08I,BBK01.OELL08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:26,
2002-01,1.989,
2002-04,1.970,
2002-07,2.007,
2002-10,2.152,
2003-01,2.224,
2003-04,2.199,
2003-07,2.200,
2003-10,2.244,
2004-01,2.223,
2004-04,2.165,
2004-07,2.087,
2004-10,2.119,
2005-01,2.061,
2005-04,2.023,
2005-07,2.058,
2005-10,2.142,
2006-01,2.137,
2006-04,2.082,
2006-07,2.063,
2006-10,2.019,
2007-01,1.953,
2007-04,1.946,
2007-07,1.969,
2007-10,2.000,
2008-01,1.994,
2008-04,1.946,
2008-07,1.908,
2008-10,1.928,
2009-01,1.888,
2009-04,1.800,
2009-07,1.727,
2009-10,1.727,
2010-01,1.680,
2010-04,1.615,
2010-07,1.584,
2010-10,1.549,
2011-01,1.526,
2011-04,1.517,
2011-07,1.503,
2011-10,1.528,
2012-01,1.532,
2012-04,1.540,
2012-07,1.549,
2012-10,1.560,
2013-01,1.534,
2013-04,1.544,
2013-07,1.535,
2013-10,1.561,
2014-01,1.529,
2014-04,1.513,
2014-07,1.493,
