"",BBK01.OELO01T,BBK01.OELO01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:51,
2002-01,1.706,
2002-04,1.696,
2002-07,1.659,
2002-10,1.665,
2003-01,1.716,
2003-04,1.718,
2003-07,1.691,
2003-10,1.710,
2004-01,1.754,
2004-04,1.777,
2004-07,1.765,
2004-10,1.768,
2005-01,1.815,
2005-04,1.826,
2005-07,1.816,
2005-10,1.822,
2006-01,1.858,
2006-04,1.865,
2006-07,1.853,
2006-10,1.836,
2007-01,1.845,
2007-04,1.819,
2007-07,1.807,
2007-10,1.810,
2008-01,1.823,
2008-04,1.811,
2008-07,1.764,
2008-10,1.738,
2009-01,1.768,
2009-04,1.753,
2009-07,1.715,
2009-10,1.697,
2010-01,1.737,
2010-04,1.709,
2010-07,1.675,
2010-10,1.657,
2011-01,1.669,
2011-04,1.669,
2011-07,1.660,
2011-10,1.648,
2012-01,1.669,
2012-04,1.665,
2012-07,1.639,
2012-10,1.638,
2013-01,1.655,
2013-04,1.652,
2013-07,1.653,
2013-10,1.661,
2014-01,1.683,
2014-04,1.703,
2014-07,1.690,
