"",BBK01.OELO05R,BBK01.OELO05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:23,
2002-01,0.002,
2002-04,0.002,
2002-07,0.005,
2002-10,0.030,
2003-01,0.003,
2003-04,0.004,
2003-07,0.004,
2003-10,0.025,
2004-01,0.003,
2004-04,0.002,
2004-07,0.004,
2004-10,0.022,
2005-01,0.003,
2005-04,0.002,
2005-07,0.004,
2005-10,0.023,
2006-01,0.003,
2006-04,0.002,
2006-07,0.001,
2006-10,0.026,
2007-01,0.003,
2007-04,0.002,
2007-07,0.001,
2007-10,0.031,
2008-01,0.004,
2008-04,0.003,
2008-07,0.003,
2008-10,0.034,
2009-01,0.003,
2009-04,0.002,
2009-07,0.004,
2009-10,0.024,
2010-01,0.001,
2010-04,0.001,
2010-07,0.001,
2010-10,0.016,
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,0.014,
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,0.014,
2013-01,-,Nothing exists
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,0.011,
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
