"",BBK01.OEXB18N,BBK01.OEXB18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:03,
2002-01,3.577,
2002-04,3.542,
2002-07,3.723,
2002-10,3.884,
2003-01,3.918,
2003-04,3.963,
2003-07,4.020,
2003-10,3.711,
2004-01,3.587,
2004-04,3.468,
2004-07,3.702,
2004-10,2.618,
2005-01,3.041,
2005-04,3.052,
2005-07,2.942,
2005-10,2.900,
2006-01,2.853,
2006-04,2.860,
2006-07,2.818,
2006-10,2.768,
2007-01,3.053,
2007-04,3.121,
2007-07,3.142,
2007-10,3.069,
2008-01,3.126,
2008-04,3.002,
2008-07,3.113,
2008-10,3.114,
2009-01,3.681,
2009-04,3.594,
2009-07,3.492,
2009-10,3.295,
2010-01,3.173,
2010-04,3.127,
2010-07,3.001,
2010-10,2.739,
2011-01,2.734,
2011-04,2.894,
2011-07,2.878,
2011-10,3.213,
2012-01,3.152,
2012-04,3.120,
2012-07,3.288,
2012-10,3.241,
2013-01,3.015,
2013-04,3.009,
2013-07,3.003,
2013-10,2.754,
2014-01,2.859,
2014-04,2.543,
2014-07,2.528,
