"",BBK01.OEXI01S,BBK01.OEXI01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:32,
2002-01,1.846,
2002-04,1.796,
2002-07,1.759,
2002-10,1.677,
2003-01,1.643,
2003-04,1.609,
2003-07,1.623,
2003-10,1.667,
2004-01,1.587,
2004-04,1.578,
2004-07,1.592,
2004-10,1.672,
2005-01,1.657,
2005-04,1.710,
2005-07,1.736,
2005-10,1.861,
2006-01,1.944,
2006-04,1.972,
2006-07,1.996,
2006-10,2.058,
2007-01,2.206,
2007-04,2.324,
2007-07,2.444,
2007-10,2.579,
2008-01,2.608,
2008-04,2.679,
2008-07,2.738,
2008-10,3.018,
2009-01,3.043,
2009-04,3.158,
2009-07,3.254,
2009-10,3.244,
2010-01,3.188,
2010-04,3.346,
2010-07,3.375,
2010-10,3.571,
2011-01,3.543,
2011-04,3.536,
2011-07,3.573,
2011-10,3.758,
2012-01,3.694,
2012-04,3.794,
2012-07,3.947,
2012-10,3.986,
2013-01,3.671,
2013-04,4.097,
2013-07,4.200,
2013-10,4.245,
2014-01,4.152,
2014-04,4.277,
2014-07,4.423,
