"",BBK01.OEXI06O,BBK01.OEXI06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:03,
2002-01,-0.720,
2002-04,-0.684,
2002-07,-0.555,
2002-10,-0.181,
2003-01,-0.107,
2003-04,-0.068,
2003-07,-0.037,
2003-10,-0.016,
2004-01,0.047,
2004-04,0.060,
2004-07,0.084,
2004-10,0.091,
2005-01,0.112,
2005-04,0.108,
2005-07,0.114,
2005-10,0.117,
2006-01,0.111,
2006-04,0.061,
2006-07,0.069,
2006-10,0.073,
2007-01,0.076,
2007-04,0.082,
2007-07,0.083,
2007-10,0.097,
2008-01,0.118,
2008-04,0.138,
2008-07,0.149,
2008-10,0.178,
2009-01,0.216,
2009-04,0.190,
2009-07,0.187,
2009-10,0.171,
2010-01,0.189,
2010-04,0.232,
2010-07,0.260,
2010-10,0.280,
2011-01,0.303,
2011-04,0.332,
2011-07,0.354,
2011-10,0.340,
2012-01,0.325,
2012-04,0.332,
2012-07,0.325,
2012-10,0.300,
2013-01,0.258,
2013-04,0.218,
2013-07,0.206,
2013-10,0.198,
2014-01,0.187,
2014-04,0.164,
2014-07,0.143,
