"",BBK01.OEXJ01L,BBK01.OEXJ01L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:24,
2002-01,25.816,
2002-04,26.268,
2002-07,28.619,
2002-10,27.840,
2003-01,28.419,
2003-04,29.616,
2003-07,29.610,
2003-10,28.742,
2004-01,31.407,
2004-04,31.957,
2004-07,34.826,
2004-10,33.368,
2005-01,35.239,
2005-04,35.188,
2005-07,36.944,
2005-10,36.465,
2006-01,43.940,
2006-04,46.212,
2006-07,49.038,
2006-10,48.000,
2007-01,50.788,
2007-04,53.166,
2007-07,56.037,
2007-10,57.909,
2008-01,64.262,
2008-04,60.946,
2008-07,64.330,
2008-10,71.034,
2009-01,66.157,
2009-04,66.218,
2009-07,58.291,
2009-10,58.825,
2010-01,59.207,
2010-04,61.365,
2010-07,66.221,
2010-10,87.064,
2011-01,88.587,
2011-04,89.542,
2011-07,91.124,
2011-10,90.156,
2012-01,88.868,
2012-04,85.715,
2012-07,84.619,
2012-10,84.692,
2013-01,86.447,
2013-04,86.487,
2013-07,82.376,
2013-10,80.675,
2014-01,81.275,
2014-04,82.152,
2014-07,90.211,
