"",BBK01.OEXJ01S,BBK01.OEXJ01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:27,
2002-01,0.415,
2002-04,0.440,
2002-07,0.443,
2002-10,0.403,
2003-01,0.418,
2003-04,0.417,
2003-07,0.428,
2003-10,0.458,
2004-01,0.430,
2004-04,0.435,
2004-07,0.445,
2004-10,0.491,
2005-01,0.484,
2005-04,0.497,
2005-07,0.512,
2005-10,0.577,
2006-01,0.582,
2006-04,0.616,
2006-07,0.636,
2006-10,0.658,
2007-01,0.679,
2007-04,0.698,
2007-07,0.744,
2007-10,0.797,
2008-01,0.811,
2008-04,0.837,
2008-07,0.842,
2008-10,0.909,
2009-01,0.933,
2009-04,0.968,
2009-07,0.994,
2009-10,1.041,
2010-01,1.032,
2010-04,1.021,
2010-07,1.033,
2010-10,1.156,
2011-01,1.119,
2011-04,1.058,
2011-07,1.088,
2011-10,1.152,
2012-01,1.143,
2012-04,1.178,
2012-07,1.255,
2012-10,1.306,
2013-01,0.966,
2013-04,1.330,
2013-07,1.425,
2013-10,1.407,
2014-01,1.378,
2014-04,1.432,
2014-07,1.505,
