"",BBK01.OEXJ06J,BBK01.OEXJ06J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:54,
2002-01,0.063,
2002-04,0.063,
2002-07,0.060,
2002-10,0.060,
2003-01,0.059,
2003-04,0.054,
2003-07,0.043,
2003-10,0.037,
2004-01,0.037,
2004-04,0.037,
2004-07,0.039,
2004-10,0.038,
2005-01,0.039,
2005-04,0.039,
2005-07,0.035,
2005-10,0.035,
2006-01,0.030,
2006-04,0.025,
2006-07,0.030,
2006-10,0.031,
2007-01,0.031,
2007-04,0.031,
2007-07,0.032,
2007-10,0.031,
2008-01,0.029,
2008-04,0.026,
2008-07,0.028,
2008-10,0.028,
2009-01,0.027,
2009-04,0.026,
2009-07,0.025,
2009-10,0.024,
2010-01,0.022,
2010-04,0.018,
2010-07,0.017,
2010-10,0.013,
2011-01,0.013,
2011-04,0.011,
2011-07,0.011,
2011-10,0.011,
2012-01,0.011,
2012-04,0.011,
2012-07,0.010,
2012-10,0.011,
2013-01,0.011,
2013-04,0.011,
2013-07,0.010,
2013-10,0.010,
2014-01,0.008,
2014-04,0.008,
2014-07,0.008,
