"",BBK01.OEXK03K,BBK01.OEXK03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:12,
2002-01,0.799,
2002-04,0.843,
2002-07,0.840,
2002-10,0.916,
2003-01,0.906,
2003-04,0.854,
2003-07,0.980,
2003-10,0.854,
2004-01,0.876,
2004-04,0.838,
2004-07,0.825,
2004-10,0.267,
2005-01,0.243,
2005-04,0.252,
2005-07,0.253,
2005-10,0.323,
2006-01,0.338,
2006-04,0.371,
2006-07,0.393,
2006-10,0.363,
2007-01,0.385,
2007-04,0.367,
2007-07,0.421,
2007-10,0.650,
2008-01,0.491,
2008-04,0.572,
2008-07,0.787,
2008-10,0.760,
2009-01,0.512,
2009-04,0.350,
2009-07,0.267,
2009-10,0.238,
2010-01,0.230,
2010-04,0.188,
2010-07,0.170,
2010-10,0.274,
2011-01,0.260,
2011-04,0.273,
2011-07,0.298,
2011-10,0.336,
2012-01,0.273,
2012-04,0.229,
2012-07,0.187,
2012-10,0.160,
2013-01,0.110,
2013-04,0.112,
2013-07,0.117,
2013-10,0.110,
2014-01,0.105,
2014-04,0.107,
2014-07,0.102,
