"",BBK01.OEXL01T,BBK01.OEXL01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:51,
2002-01,1.203,
2002-04,1.166,
2002-07,1.170,
2002-10,1.189,
2003-01,1.188,
2003-04,1.127,
2003-07,1.116,
2003-10,1.137,
2004-01,1.140,
2004-04,1.120,
2004-07,1.101,
2004-10,0.906,
2005-01,0.936,
2005-04,0.935,
2005-07,0.907,
2005-10,0.947,
2006-01,0.969,
2006-04,0.967,
2006-07,0.957,
2006-10,1.063,
2007-01,1.161,
2007-04,1.204,
2007-07,1.245,
2007-10,1.326,
2008-01,1.361,
2008-04,1.385,
2008-07,1.411,
2008-10,1.565,
2009-01,1.543,
2009-04,1.506,
2009-07,1.477,
2009-10,1.449,
2010-01,1.423,
2010-04,1.448,
2010-07,1.453,
2010-10,1.547,
2011-01,1.609,
2011-04,1.640,
2011-07,1.667,
2011-10,1.733,
2012-01,1.710,
2012-04,1.705,
2012-07,1.608,
2012-10,1.573,
2013-01,1.519,
2013-04,1.490,
2013-07,1.493,
2013-10,1.504,
2014-01,1.492,
2014-04,1.500,
2014-07,1.534,
