"",BBK01.OEXL03H,BBK01.OEXL03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:59,
2002-01,2.521,
2002-04,2.417,
2002-07,2.421,
2002-10,2.318,
2003-01,2.153,
2003-04,2.049,
2003-07,1.940,
2003-10,1.828,
2004-01,1.657,
2004-04,1.397,
2004-07,1.461,
2004-10,1.282,
2005-01,1.251,
2005-04,1.250,
2005-07,1.258,
2005-10,1.432,
2006-01,1.381,
2006-04,1.439,
2006-07,1.718,
2006-10,2.331,
2007-01,2.576,
2007-04,2.729,
2007-07,3.437,
2007-10,3.919,
2008-01,4.430,
2008-04,4.661,
2008-07,5.278,
2008-10,6.642,
2009-01,7.035,
2009-04,6.376,
2009-07,5.268,
2009-10,3.946,
2010-01,2.911,
2010-04,3.073,
2010-07,2.908,
2010-10,2.802,
2011-01,2.677,
2011-04,2.706,
2011-07,2.623,
2011-10,2.707,
2012-01,2.846,
2012-04,2.847,
2012-07,2.732,
2012-10,2.671,
2013-01,2.633,
2013-04,2.963,
2013-07,3.103,
2013-10,3.278,
2014-01,3.367,
2014-04,3.377,
2014-07,3.450,
