"",BBK01.OEXM01I,BBK01.OEXM01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:29,
2002-01,0.381,
2002-04,0.324,
2002-07,0.332,
2002-10,0.463,
2003-01,0.722,
2003-04,0.767,
2003-07,0.591,
2003-10,0.743,
2004-01,0.940,
2004-04,0.886,
2004-07,1.379,
2004-10,1.571,
2005-01,1.329,
2005-04,1.281,
2005-07,1.217,
2005-10,1.245,
2006-01,1.198,
2006-04,1.011,
2006-07,1.035,
2006-10,1.192,
2007-01,1.137,
2007-04,0.932,
2007-07,1.157,
2007-10,1.220,
2008-01,0.986,
2008-04,0.915,
2008-07,0.784,
2008-10,0.993,
2009-01,1.532,
2009-04,1.978,
2009-07,2.501,
2009-10,2.154,
2010-01,2.111,
2010-04,2.296,
2010-07,2.230,
2010-10,2.286,
2011-01,2.538,
2011-04,2.745,
2011-07,2.649,
2011-10,2.570,
2012-01,2.662,
2012-04,3.415,
2012-07,3.968,
2012-10,4.052,
2013-01,5.851,
2013-04,6.087,
2013-07,6.218,
2013-10,6.189,
2014-01,5.702,
2014-04,5.832,
2014-07,5.535,
