"",BBK01.OEXO02K,BBK01.OEXO02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:36,
2002-01,0.561,
2002-04,0.431,
2002-07,0.421,
2002-10,0.468,
2003-01,0.612,
2003-04,0.457,
2003-07,0.427,
2003-10,0.464,
2004-01,0.547,
2004-04,0.388,
2004-07,0.362,
2004-10,0.493,
2005-01,0.343,
2005-04,0.297,
2005-07,0.300,
2005-10,0.329,
2006-01,0.423,
2006-04,0.383,
2006-07,0.356,
2006-10,0.461,
2007-01,0.652,
2007-04,0.491,
2007-07,0.481,
2007-10,0.591,
2008-01,0.607,
2008-04,0.526,
2008-07,0.603,
2008-10,1.127,
2009-01,0.556,
2009-04,0.462,
2009-07,0.502,
2009-10,0.524,
2010-01,0.458,
2010-04,0.352,
2010-07,0.398,
2010-10,0.536,
2011-01,0.602,
2011-04,0.412,
2011-07,0.356,
2011-10,0.400,
2012-01,0.388,
2012-04,0.402,
2012-07,0.356,
2012-10,0.326,
2013-01,0.360,
2013-04,0.269,
2013-07,0.246,
2013-10,0.294,
2014-01,0.301,
2014-04,0.231,
2014-07,0.327,
