"",BBK01.OEYB16M,BBK01.OEYB16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:22,
2002-01,8.586,
2002-04,8.599,
2002-07,8.298,
2002-10,8.257,
2003-01,8.295,
2003-04,8.332,
2003-07,8.377,
2003-10,8.165,
2004-01,8.158,
2004-04,8.164,
2004-07,7.698,
2004-10,7.685,
2005-01,7.570,
2005-04,7.549,
2005-07,7.492,
2005-10,7.500,
2006-01,7.121,
2006-04,6.599,
2006-07,6.175,
2006-10,6.084,
2007-01,5.898,
2007-04,5.766,
2007-07,5.742,
2007-10,5.683,
2008-01,5.531,
2008-04,5.445,
2008-07,5.757,
2008-10,5.693,
2009-01,5.629,
2009-04,5.568,
2009-07,5.516,
2009-10,5.469,
2010-01,5.418,
2010-04,5.532,
2010-07,5.504,
2010-10,5.485,
2011-01,5.380,
2011-04,5.330,
2011-07,5.087,
2011-10,5.032,
2012-01,4.939,
2012-04,4.925,
2012-07,4.828,
2012-10,4.822,
2013-01,4.785,
2013-04,4.720,
2013-07,4.732,
2013-10,4.786,
2014-01,4.700,
2014-04,4.703,
2014-07,4.667,
