"",BBK01.OEYB18K,BBK01.OEYB18K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:02,
2002-01,0.305,
2002-04,0.245,
2002-07,0.238,
2002-10,0.272,
2003-01,0.232,
2003-04,0.283,
2003-07,0.187,
2003-10,0.194,
2004-01,0.224,
2004-04,0.204,
2004-07,0.206,
2004-10,0.193,
2005-01,0.176,
2005-04,0.180,
2005-07,0.167,
2005-10,0.134,
2006-01,0.157,
2006-04,0.161,
2006-07,0.130,
2006-10,0.153,
2007-01,0.099,
2007-04,0.134,
2007-07,0.131,
2007-10,0.115,
2008-01,0.132,
2008-04,0.081,
2008-07,0.115,
2008-10,0.098,
2009-01,0.075,
2009-04,0.082,
2009-07,0.099,
2009-10,0.095,
2010-01,0.097,
2010-04,0.058,
2010-07,0.067,
2010-10,0.074,
2011-01,0.070,
2011-04,0.071,
2011-07,0.070,
2011-10,0.073,
2012-01,0.068,
2012-04,0.073,
2012-07,0.075,
2012-10,0.070,
2013-01,0.067,
2013-04,0.065,
2013-07,0.066,
2013-10,0.062,
2014-01,0.061,
2014-04,0.059,
2014-07,0.059,
