"",BBK01.OEYB20P,BBK01.OEYB20P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:01,
2002-01,1.069,
2002-04,1.067,
2002-07,1.110,
2002-10,1.146,
2003-01,1.178,
2003-04,1.207,
2003-07,1.132,
2003-10,1.167,
2004-01,1.191,
2004-04,1.303,
2004-07,1.336,
2004-10,1.318,
2005-01,1.346,
2005-04,1.339,
2005-07,1.349,
2005-10,1.351,
2006-01,1.356,
2006-04,1.361,
2006-07,1.359,
2006-10,1.373,
2007-01,1.396,
2007-04,1.415,
2007-07,1.431,
2007-10,1.431,
2008-01,1.416,
2008-04,0.661,
2008-07,0.642,
2008-10,0.617,
2009-01,0.603,
2009-04,0.581,
2009-07,0.564,
2009-10,0.526,
2010-01,0.508,
2010-04,0.509,
2010-07,0.570,
2010-10,0.553,
2011-01,0.543,
2011-04,0.555,
2011-07,0.545,
2011-10,0.527,
2012-01,0.518,
2012-04,0.514,
2012-07,0.485,
2012-10,0.458,
2013-01,0.485,
2013-04,0.479,
2013-07,0.475,
2013-10,0.468,
2014-01,0.459,
2014-04,0.467,
2014-07,0.463,
