"",BBK01.OEYJ02V,BBK01.OEYJ02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:41,
2002-01,0.306,
2002-04,0.366,
2002-07,0.252,
2002-10,0.234,
2003-01,0.202,
2003-04,0.316,
2003-07,0.196,
2003-10,0.242,
2004-01,0.290,
2004-04,0.301,
2004-07,0.231,
2004-10,0.261,
2005-01,0.218,
2005-04,0.346,
2005-07,0.243,
2005-10,0.322,
2006-01,0.312,
2006-04,0.425,
2006-07,0.311,
2006-10,0.343,
2007-01,0.362,
2007-04,0.346,
2007-07,0.297,
2007-10,0.300,
2008-01,0.334,
2008-04,0.223,
2008-07,0.270,
2008-10,0.250,
2009-01,0.302,
2009-04,0.361,
2009-07,0.522,
2009-10,0.612,
2010-01,0.867,
2010-04,0.716,
2010-07,0.671,
2010-10,0.858,
2011-01,0.777,
2011-04,0.640,
2011-07,0.647,
2011-10,0.716,
2012-01,0.736,
2012-04,0.774,
2012-07,0.855,
2012-10,0.766,
2013-01,0.792,
2013-04,0.804,
2013-07,1.421,
2013-10,1.093,
2014-01,1.228,
2014-04,1.137,
2014-07,1.244,
